year,territory,civilian_population,source
1940,AK,72524,1940 Census
1941,AK,78135,interpolated
1942,AK,83746,interpolated
1943,AK,89358,interpolated
1944,AK,94969,interpolated
1945,AK,100580,interpolated
1946,AK,106191,interpolated
1947,AK,111803,interpolated
1948,AK,117414,interpolated
1949,AK,123025,interpolated
1940,HI,423330,1940 Census
1941,HI,430976,interpolated
1942,HI,438623,interpolated
1943,HI,446269,interpolated
1944,HI,453916,interpolated
1945,HI,461562,interpolated
1946,HI,469209,interpolated
1947,HI,476855,interpolated
1948,HI,484502,interpolated
1949,HI,492148,interpolated
