age,sex,distribution
0,female,0.00217071224471082
1,female,0.00541040599182686
2,female,0.00541040599182686
3,female,0.00541040599182686
4,female,0.00541040599182686
5,female,0.00914987298784705
6,female,0.00914987298784705
7,female,0.00914987298784705
8,female,0.00914987298784705
9,female,0.00914987298784705
10,female,0.0103860740939861
11,female,0.0103860740939861
12,female,0.0103860740939861
13,female,0.0103860740939861
14,female,0.0103860740939861
15,female,0.0118945239318223
16,female,0.0118945239318223
17,female,0.0118945239318223
18,female,0.0106411228549724
19,female,0.0106411228549724
20,female,0.0149502733262791
21,female,0.0149502733262791
22,female,0.0149502733262791
23,female,0.0149502733262791
24,female,0.0149502733262791
25,female,0.0116433294974609
26,female,0.0116433294974609
27,female,0.0116433294974609
28,female,0.0116433294974609
29,female,0.0116433294974609
30,female,0.0127512150004885
31,female,0.0127512150004885
32,female,0.0127512150004885
33,female,0.0127512150004885
34,female,0.0127512150004885
35,female,0.0112428056418636
36,female,0.0112428056418636
37,female,0.0112428056418636
38,female,0.0112428056418636
39,female,0.0112428056418636
40,female,0.00919369385808341
41,female,0.00919369385808341
42,female,0.00919369385808341
43,female,0.00919369385808341
44,female,0.00919369385808341
45,female,0.00424252109188005
46,female,0.00424252109188005
47,female,0.00424252109188005
48,female,0.00424252109188005
49,female,0.00424252109188005
50,female,0.00342493948295235
51,female,0.00342493948295235
52,female,0.00342493948295235
53,female,0.00342493948295235
54,female,0.00342493948295235
55,female,0.00272785670251408
56,female,0.00272785670251408
57,female,0.00272785670251408
58,female,0.00272785670251408
59,female,0.00272785670251408
60,female,0.00209668307733115
61,female,0.00209668307733115
62,female,0.00209668307733115
63,female,0.00209668307733115
64,female,0.00209668307733115
65,female,9.29252130579744e-05
66,female,9.29252130579744e-05
67,female,9.29252130579744e-05
68,female,9.29252130579744e-05
69,female,9.29252130579744e-05
70,female,9.29252130579744e-05
71,female,9.29252130579744e-05
72,female,9.29252130579744e-05
73,female,9.29252130579744e-05
74,female,9.29252130579744e-05
75,female,1.2997257854658e-05
76,female,1.2997257854658e-05
77,female,1.2997257854658e-05
78,female,1.2997257854658e-05
79,female,1.2997257854658e-05
80,female,1.2997257854658e-05
81,female,1.2997257854658e-05
82,female,1.2997257854658e-05
83,female,1.2997257854658e-05
84,female,1.2997257854658e-05
85,female,1.2997257854658e-05
86,female,1.2997257854658e-05
87,female,1.2997257854658e-05
88,female,1.2997257854658e-05
89,female,1.2997257854658e-05
90,female,1.2997257854658e-05
91,female,1.2997257854658e-05
92,female,1.2997257854658e-05
93,female,1.2997257854658e-05
94,female,1.2997257854658e-05
95,female,1.2997257854658e-05
96,female,1.2997257854658e-05
97,female,1.2997257854658e-05
98,female,1.2997257854658e-05
99,female,1.2997257854658e-05
100,female,0
0,male,0.00225726266188931
1,male,0.00576712107959753
2,male,0.00576712107959753
3,male,0.00576712107959753
4,male,0.00576712107959753
5,male,0.009638410645433
6,male,0.009638410645433
7,male,0.009638410645433
8,male,0.009638410645433
9,male,0.009638410645433
10,male,0.010991759034223
11,male,0.010991759034223
12,male,0.010991759034223
13,male,0.010991759034223
14,male,0.010991759034223
15,male,0.0127651399356262
16,male,0.0127651399356262
17,male,0.0127651399356262
18,male,0.0127651399356262
19,male,0.0127651399356262
20,male,0.0140645293183108
21,male,0.0140645293183108
22,male,0.0140645293183108
23,male,0.0140645293183108
24,male,0.0140645293183108
25,male,0.00872693027209265
26,male,0.00872693027209265
27,male,0.00872693027209265
28,male,0.00872693027209265
29,male,0.00872693027209265
30,male,0.0112732555271714
31,male,0.0112732555271714
32,male,0.0112732555271714
33,male,0.0112732555271714
34,male,0.0112732555271714
35,male,0.01019542063928
36,male,0.01019542063928
37,male,0.01019542063928
38,male,0.01019542063928
39,male,0.01019542063928
40,male,0.0081737880807337
41,male,0.0081737880807337
42,male,0.0081737880807337
43,male,0.0081737880807337
44,male,0.0081737880807337
45,male,0.000267734899894757
46,male,0.000267734899894757
47,male,0.000267734899894757
48,male,0.000267734899894757
49,male,0.000267734899894757
50,male,0.000196067651386724
51,male,0.000196067651386724
52,male,0.000196067651386724
53,male,0.000196067651386724
54,male,0.000196067651386724
55,male,0.000144073237523593
56,male,0.000144073237523593
57,male,0.000144073237523593
58,male,0.000144073237523593
59,male,0.000144073237523593
60,male,0.000109447972059667
61,male,0.000109447972059667
62,male,0.000109447972059667
63,male,0.000109447972059667
64,male,0.000109447972059667
65,male,6.45960620470918e-05
66,male,6.45960620470918e-05
67,male,6.45960620470918e-05
68,male,6.45960620470918e-05
69,male,6.45960620470918e-05
70,male,6.45960620470918e-05
71,male,6.45960620470918e-05
72,male,6.45960620470918e-05
73,male,6.45960620470918e-05
74,male,6.45960620470918e-05
75,male,8.67380931060418e-06
76,male,8.67380931060418e-06
77,male,8.67380931060418e-06
78,male,8.67380931060418e-06
79,male,8.67380931060418e-06
80,male,8.67380931060418e-06
81,male,8.67380931060418e-06
82,male,8.67380931060418e-06
83,male,8.67380931060418e-06
84,male,8.67380931060418e-06
85,male,8.67380931060418e-06
86,male,8.67380931060418e-06
87,male,8.67380931060418e-06
88,male,8.67380931060418e-06
89,male,8.67380931060418e-06
90,male,8.67380931060418e-06
91,male,8.67380931060418e-06
92,male,8.67380931060418e-06
93,male,8.67380931060418e-06
94,male,8.67380931060418e-06
95,male,8.67380931060418e-06
96,male,8.67380931060418e-06
97,male,8.67380931060418e-06
98,male,8.67380931060418e-06
99,male,8.67380931060418e-06
100,male,0
