year,sex,births
1940,male,1211684
1940,female,1148715
1941,male,1289734
1941,female,1223693
1942,male,1444365
1942,female,1364631
1943,male,1508959
1943,female,1427901
1944,male,1435301
1944,female,1359499
1945,male,1404587
1945,female,1330869
1946,male,1691220
1946,female,1597452
1947,male,1899876
1947,female,1800064
1948,male,1813852
1948,female,1721216
1949,male,1826352
1949,female,1733177
1950,male,1823555
1950,female,1730594
1951,male,1923020
1951,female,1827830
1952,male,1971262
1952,female,1875724
1953,male,2001798
1953,female,1900322
1954,male,2059068
1954,female,1958294
1955,male,2073719
1955,female,1973576
1956,male,2133588
1956,female,2029502
1957,male,2179960
1957,female,2074824
1958,male,2152546
1958,female,2051266
1959,male,2173638
1959,female,2071158
1960,male,2179708
1960,female,2078142
1961,male,2186274
1961,female,2082052
1962,male,2132466
1962,female,2034896
1963,male,2101632
1963,female,1996388
1964,male,2060162
1964,female,1967328
1965,male,1927054
1965,female,1833304
1966,male,1845862
1966,female,1760412
1967,male,1803388
1967,female,1717571
