age,sex,avg_implied,total_implied,implied_dist
1,female,18462.38383,1958056.2188135,0.0094289344976966
2,female,16305.36895775,1958056.2188135,0.0083273242111661
3,female,14226.781645,1958056.2188135,0.00726576770794705
4,female,12517.20476275,1958056.2188135,0.00639266873059185
5,female,11153.330085125,1958056.2188135,0.00569612352186878
6,female,10879.645406625,1958056.2188135,0.00555634986477437
7,female,10493.64517225,1958056.2188135,0.00535921546655525
8,female,10647.520196625,1958056.2188135,0.00543780106736516
9,female,10954.144604125,1958056.2188135,0.00559439739210489
10,female,11150.688539,1958056.2188135,0.00569477445635186
11,female,11548.36548575,1958056.2188135,0.00589787227495837
12,female,12405.38349,1958056.2188135,0.00633556042508174
13,female,13031.005975375,1958056.2188135,0.00665507243876342
14,female,13360.888961875,1958056.2188135,0.00682354716555134
15,female,13850.2797675,1958056.2188135,0.00707348422094475
16,female,14835.519876625,1958056.2188135,0.00757665675483757
17,female,16284.283169125,1958056.2188135,0.00831655547612041
18,female,17740.80435525,1958056.2188135,0.00906041623564831
19,female,19147.65320125,1958056.2188135,0.00977890880623061
20,female,20277.7917788751,1958056.2188135,0.0103560825190007
21,female,21345.0667174999,1958056.2188135,0.0109011511071087
22,female,22467.0613,1958056.2188135,0.011474165595518
23,female,24081.4654222499,1958056.2188135,0.0122986588387346
24,female,26022.642439625,1958056.2188135,0.0132900384522124
25,female,26749.3622458749,1958056.2188135,0.013661181935871
26,female,26601.07539175,1958056.2188135,0.0135854502726531
27,female,26138.984925375,1958056.2188135,0.0133494557889733
28,female,25633.1769797499,1958056.2188135,0.0130911343267164
29,female,25074.639266,1958056.2188135,0.0128058832147292
30,female,24816.9899495,1958056.2188135,0.0126742989864398
31,female,23648.2365175,1958056.2188135,0.0120774042595313
32,female,22114.675418375,1958056.2188135,0.0112941984024215
33,female,20426.33937,1958056.2188135,0.0104319473433595
34,female,18686.222016875,1958056.2188135,0.00954325102483424
35,female,17088.989834,1958056.2188135,0.00872752767249714
36,female,15691.8907935001,1958056.2188135,0.00801401443060133
37,female,14519.8981163749,1958056.2188135,0.00741546538698126
38,female,13501.38361225,1958056.2188135,0.0068952992679808
39,female,12515.4478135001,1958056.2188135,0.00639177143804579
40,female,11708.3964192501,1958056.2188135,0.00597960176360253
41,female,11278.3019998749,1958056.2188135,0.00575994799919949
42,female,10900.5735273751,1958056.2188135,0.0055670380771704
43,female,10554.2892769999,1958056.2188135,0.00539018705162378
44,female,10240.0315862501,1958056.2188135,0.00522969232847418
45,female,9803.65555062503,1958056.2188135,0.00500683047628001
46,female,9176.66860299994,1958056.2188135,0.00468662161731016
47,female,8707.71531687499,1958056.2188135,0.00444712221907066
48,female,8419.27332662506,1958056.2188135,0.00429981184693807
49,female,8194.10210787505,1958056.2188135,0.00418481452633691
50,female,8067.65135424998,1958056.2188135,0.00412023479036707
51,female,7846.88358537501,1958056.2188135,0.00400748635814445
52,female,7641.19324750002,1958056.2188135,0.00390243812924343
53,female,7428.30118374998,1958056.2188135,0.00379371190284374
54,female,7267.43528137499,1958056.2188135,0.00371155598677281
55,female,6979.03014162497,1958056.2188135,0.00356426443457991
56,female,6746.47087037499,1958056.2188135,0.00344549395750397
57,female,6492.76168337499,1958056.2188135,0.00331592199498201
58,female,6215.434114,1958056.2188135,0.00317428787502654
59,female,5953.94678300005,1958056.2188135,0.00304074353217902
60,female,5782.55351075003,1958056.2188135,0.00295321117707949
61,female,5607.81397450005,1958056.2188135,0.00286396984959816
62,female,5376.04593725005,1958056.2188135,0.00274560346408629
